Area u^2;Convex Area u^2;Perimeter u;Convex Perimeter u;Length (Feret) u;Fiber Length u;Width u;Equivalent Diameter (ArEquivD) u;Inscribed Radius (MinR) u;Form Factor (Circ);Roundness;Convexity;Solidity;Compactness;Aspect Ratio;Elongation;Curl;L1;L2;Subtribe;;
341.495;408.108;103.086;88.295;36.854;39.628;12.839;20.852;3.686;0.404;0.32;0.857;0.837;0.566;2.871;3.087;0.93;2.7335;1.741589799;Agrostidinae;;
347.553;401.274;96.335;77.709;31.152;36.038;16.146;21.036;4.536;0.471;0.456;0.807;0.866;0.675;1.929;2.232;0.864;3.537;1.779761905;Agrostidinae;;
271.359;294.666;75.195;67.664;26.524;30.849;13.097;18.588;4.997;0.603;0.491;0.9;0.921;0.701;2.025;2.355;0.86;1.5515;1.310486292;Agrostidinae;;
212.074;236.932;72.716;63.592;27.341;30.048;10.806;16.432;2.883;0.504;0.361;0.875;0.895;0.601;2.53;2.781;0.91;2.52;1.87408949;Agrostidinae;;
261.454;284.868;72.716;64.515;24.349;27.063;13.442;18.245;4.331;0.621;0.561;0.887;0.918;0.749;1.811;2.013;0.9;2.39;1.551835604;Agrostidinae;;
322.461;374.294;98.947;85.712;37.14;40.591;11.485;20.263;2.972;0.414;0.298;0.866;0.862;0.546;3.234;3.534;0.915;2.7705;1.932200538;Agrostidinae;;
227.319;254.159;78.963;69.239;30.473;32.778;10.019;17.013;2.899;0.458;0.312;0.877;0.894;0.558;3.041;3.271;0.93;2.1105;1.728009659;Agrostidinae;;
263.148;296.96;86.549;75.625;33.113;34.632;10.235;18.304;3.664;0.441;0.306;0.874;0.886;0.553;3.235;3.384;0.956;1.4535;1.396697598;Agrostidinae;;
219.654;240.633;73.021;64.539;26.788;28.331;10.412;16.723;4.115;0.518;0.39;0.884;0.913;0.624;2.573;2.721;0.946;1.091;1.265127582;Agrostidinae;;
325.073;359.981;90.526;78.442;32.45;34.272;12.645;20.344;4.703;0.498;0.393;0.867;0.903;0.627;2.566;2.71;0.947;1.6195;1.344354667;Agrostidinae;;
